Processor,AMD Opteron 4171 HE @ 2.09GHz (4 Cores)
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 16",2119.67
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 32",1073.74
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 4",0.35
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 8",0.55
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 4",0.27
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 8",0.54
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 16",1.04
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 32",1.71
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 16",1.05
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 32",1.72
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 16",1.09
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 32",1.72
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 16",1.12
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 32",1.68
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 4",1085.35
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 8",1116.01
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 4",1304.77
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 8",1278.90
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 4",1667.90
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 8",1316.54
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 4",1394.93
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 8",1498.00
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 16",1375.67
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 32",1289.56
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 16",1284.91
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 32",1327.34
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 4",0.40
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 8",0.59
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 4",0.32
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 8",0.57
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 16",1275.79
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 32",1018.35
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 16",1282.22
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 32",393.97
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 4",0.39
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 8",0.66
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 4",0.42
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 8",0.67
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 16",1.14
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 32",1.73
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 16",1.05
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 32",1.73
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 16",1.09
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 32",1.72
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 16",1.09
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 32",1.73
"DD - Test: / - Block Size: 1G - Count: 1 - Oflag: direct",107
"DD - Test: / - Block Size: 1G - Count: 1 - Oflag: sync",83.3
"DD - Test: / - Block Size: 1G - Count: 2 - Oflag: direct",45.5
"DD - Test: / - Block Size: 1G - Count: 2 - Oflag: sync",24.7
"DD - Test: / - Block Size: 1G - Count: 4 - Oflag: direct",24.0
"DD - Test: / - Block Size: 1G - Count: 4 - Oflag: sync",27.7
"DD - Test: / - Block Size: 2G - Count: 1 - Oflag: direct",22.8
"DD - Test: / - Block Size: 2G - Count: 1 - Oflag: sync",27.6
"DD - Test: / - Block Size: 2G - Count: 2 - Oflag: direct",24.7
"DD - Test: / - Block Size: 2G - Count: 2 - Oflag: sync",28.0
"DD - Test: / - Block Size: 4G - Count: 1 - Oflag: direct",19.5
"DD - Test: / - Block Size: 4G - Count: 1 - Oflag: sync",45.1
"DD - Test: /mnt - Block Size: 1G - Count: 1 - Oflag: direct",870,263
"DD - Test: /mnt - Block Size: 1G - Count: 1 - Oflag: sync",354,344
"DD - Test: /mnt - Block Size: 1G - Count: 2 - Oflag: direct",969
"DD - Test: /mnt - Block Size: 1G - Count: 2 - Oflag: sync",375
"DD - Test: /mnt - Block Size: 1G - Count: 4 - Oflag: direct",971.08,1022.34
"DD - Test: /mnt - Block Size: 1G - Count: 4 - Oflag: sync",391
"DD - Test: /mnt - Block Size: 2G - Count: 1 - Oflag: direct",377
"DD - Test: /mnt - Block Size: 2G - Count: 1 - Oflag: sync",381
"DD - Test: /mnt - Block Size: 2G - Count: 2 - Oflag: direct",389
"DD - Test: /mnt - Block Size: 2G - Count: 2 - Oflag: sync",396
"DD - Test: /mnt - Block Size: 4G - Count: 1 - Oflag: direct",366
"DD - Test: /mnt - Block Size: 4G - Count: 1 - Oflag: sync",374
"IPERF3 - Test: bouygues.testdebit.info",233,234,233,233,233,233,233,233,233,233
